row,hour,month,reward,served_ratio,total_demand,avg_util,n_trip,n_danger,n_healthy,n_disc,power_shed,r_serve,r_overload,r_danger,r_cascade,r_health,r_shed,r_topology
37,13,1,3.6329,0.952688,2830.88,0.288705,3,3,117,0,133.936,3.81075,-0.0997748,-0.000106624,-0.000530655,0.110031,-0.18747,-0
38,14,1,3.62991,0.952686,2826.5,0.284372,3,1,116,0,133.734,3.81074,-0.101847,-6.53571e-05,-0.000530655,0.109091,-0.187477,-0
39,15,1,3.59937,0.95269,2797.92,0.281227,4,0,115,0,132.371,3.81076,-0.131731,-0,-0.000943387,0.10815,-0.186869,-0
40,16,1,3.65972,0.95269,2846.86,0.286615,2,3,116,0,134.684,3.81076,-0.0715708,-0.000275814,-0.000235847,0.109091,-0.188052,-0
41,17,1,3.5999,0.952692,2828.86,0.284718,4,2,115,0,133.828,3.81077,-0.131125,-9.20972e-05,-0.000943387,0.10815,-0.18686,-0
42,18,1,3.45283,0.952699,3306.92,0.351515,8,7,150,0,156.422,3.81079,-0.310593,-0.000209075,-0.00377355,0.141066,-0.18446,-0
43,19,1,3.46353,0.952701,3097.72,0.335955,8,2,143,0,146.518,3.81081,-0.293487,-4.88402e-05,-0.00377355,0.134483,-0.18445,-0
44,20,1,3.45818,0.952692,3166.6,0.34554,8,4,146,0,149.805,3.81077,-0.301511,-0.000118482,-0.00377355,0.137304,-0.184486,-0
45,21,1,3.51421,0.952694,3170.62,0.346009,6,8,147,0,149.989,3.81078,-0.246709,-0.000311708,-0.00212262,0.138245,-0.185665,-0
46,22,1,3.44467,0.952696,3097.84,0.335414,8,4,137,0,146.54,3.81078,-0.30664,-7.29968e-05,-0.00377355,0.12884,-0.184471,-0
47,23,1,3.66386,0.952682,2251.94,0.229893,1,2,80,0,106.558,3.81073,-0.0331105,-0.00024778,-5.89617e-05,0.0752351,-0.18868,-0
48,0,1,3.65237,0.952666,1612.58,0.160377,0,0,33,0,76.3291,3.81067,-0,-0,-0,0.0310345,-0.189334,-0
49,1,1,3.65343,0.952682,1604.5,0.16406,0,0,34,0,75.9218,3.81073,-0,-0,-0,0.0319749,-0.189272,-0
50,2,1,3.65153,0.95268,1596.92,0.159021,0,0,32,0,75.5664,3.81072,-0,-0,-0,0.030094,-0.18928,-0
51,3,1,3.65152,0.952678,1584.76,0.157694,0,0,32,0,74.9934,3.81071,-0,-0,-0,0.030094,-0.189286,-0
52,4,1,3.65062,0.952684,1587.9,0.161255,0,0,31,0,75.1335,3.81073,-0,-0,-0,0.0291536,-0.189265,-0
53,5,1,3.65335,0.952671,1682.22,0.16811,0,0,34,0,79.6171,3.81069,-0,-0,-0,0.0319749,-0.189314,-0
54,6,1,3.63616,0.952697,2290.26,0.23976,2,1,83,0,108.336,3.81079,-0.0643692,-5.67876e-05,-0.000235847,0.0780564,-0.188025,-0
55,7,1,3.62812,0.952704,2658.26,0.287465,3,1,124,0,125.726,3.81081,-0.111342,-2.54667e-05,-0.000530655,0.116614,-0.187406,-0
56,8,1,3.59274,0.952678,2808.74,0.290216,4,4,117,0,132.916,3.81071,-0.139979,-0.000169409,-0.000943387,0.110031,-0.186915,-0
57,9,1,3.64114,0.952685,3133,0.31368,3,3,145,0,148.237,3.81074,-0.117753,-0.000206595,-0.000530655,0.136364,-0.187479,-0
58,10,1,3.60108,0.952686,2821.26,0.283513,4,0,117,0,133.486,3.81074,-0.13187,-0,-0.000943387,0.110031,-0.186885,-0
59,11,1,3.63242,0.952686,2829.04,0.286949,3,2,122,0,133.854,3.81074,-0.104981,-7.14702e-05,-0.000530655,0.114734,-0.187477,-0
60,12,1,3.63333,0.952689,2839.76,0.288828,3,2,120,0,134.352,3.81076,-0.102097,-0.000183006,-0.000530655,0.112853,-0.187464,-0
61,13,1,3.66048,0.952688,2840.24,0.286936,2,3,116,0,134.378,3.81075,-0.0708932,-0.000168774,-0.000235847,0.109091,-0.188062,-0
62,14,1,3.60272,0.95269,2830.06,0.286268,4,0,119,0,133.89,3.81076,-0.132138,-0,-0.000943387,0.111912,-0.186867,-0
63,15,1,3.65976,0.952687,2779.78,0.278197,2,3,112,0,131.521,3.81075,-0.0678114,-0.000202823,-0.000235847,0.105329,-0.188067,-0
64,16,1,3.66597,0.952694,2848.22,0.287179,2,3,121,0,134.739,3.81077,-0.0701097,-0.000217375,-0.000235847,0.113793,-0.188039,-0
65,17,1,3.62838,0.952685,2815.94,0.285259,3,2,114,0,133.235,3.81074,-0.101464,-0.000103359,-0.000530655,0.10721,-0.187479,-0
66,18,1,3.49406,0.952693,3291,0.339875,7,4,147,0,155.688,3.81077,-0.266865,-0.000128231,-0.00288912,0.138245,-0.185076,-0
67,19,1,3.52446,0.952701,3154.9,0.33719,6,7,142,0,149.224,3.8108,-0.231901,-0.000220342,-0.00212262,0.133542,-0.185638,-0
